,Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
88,2019,Tobias Harris,PF,26.0,PHI,12.0,12.0,36.9,5.9,13.9,0.425,1.8,5.3,0.349,4.1,8.7,0.471,0.491,1.8,2.2,0.846,1.0,8.2,9.2,4.0,1.1,0.5,1.7,2.5,15.5
89,2019,Isaiah Hartenstein,PF,20.0,HOU,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.0
90,2019,Gordon Hayward,PF,28.0,BOS,9.0,0.0,29.7,3.2,7.8,0.414,1.0,2.7,0.375,2.2,5.1,0.435,0.479,2.1,2.1,1.0,0.3,3.7,4.0,2.4,0.7,0.3,1.6,1.8,9.6
91,2019,Juancho Hernangómez,PF,23.0,DEN,5.0,0.0,3.0,0.2,0.6,0.333,0.2,0.4,0.5,0.0,0.2,0.0,0.5,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.2,0.4,0.6
92,2019,Nenê,C,36.0,HOU,7.0,0.0,7.6,1.4,1.4,1.0,0.0,0.0,,1.4,1.4,1.0,1.0,1.0,1.3,0.778,1.3,0.7,2.0,0.4,0.4,0.3,0.4,1.0,3.9
93,2019,George Hill,PG,32.0,MIL,15.0,0.0,26.3,4.2,7.9,0.534,1.3,3.2,0.417,2.9,4.7,0.614,0.619,1.8,2.2,0.818,1.0,2.5,3.5,2.8,0.8,0.3,0.4,2.3,11.5
94,2019,Aaron Holiday,PG,22.0,IND,3.0,0.0,4.3,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.0,0.333,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.7
95,2019,Rondae Hollis-Jefferson,SF,24.0,BRK,4.0,0.0,15.5,4.0,8.3,0.485,0.3,0.3,1.0,3.8,8.0,0.469,0.5,5.0,6.3,0.8,0.8,2.3,3.0,1.5,0.3,1.3,0.8,1.8,13.3
96,2019,Rodney Hood,SG,26.0,POR,16.0,0.0,23.3,3.3,6.9,0.468,1.1,3.2,0.353,2.1,3.8,0.567,0.55,2.3,2.8,0.818,0.6,1.7,2.3,0.9,0.4,0.2,0.4,1.8,9.9
97,2019,Al Horford,C,32.0,BOS,9.0,9.0,34.4,5.1,12.2,0.418,2.0,4.9,0.409,3.1,7.3,0.424,0.5,1.7,2.0,0.833,1.4,7.6,9.0,4.4,0.4,0.8,2.1,2.3,13.9
98,2019,Danuel House Jr.,SF,25.0,HOU,7.0,0.0,20.1,1.6,5.3,0.297,1.1,4.4,0.258,0.4,0.9,0.5,0.405,0.6,1.1,0.5,0.3,2.9,3.1,0.1,0.4,0.3,0.6,1.6,4.9
99,2019,Serge Ibaka,C,29.0,TOR,24.0,0.0,20.8,3.8,8.0,0.477,0.4,1.6,0.237,3.5,6.5,0.535,0.5,1.3,1.8,0.762,1.5,4.5,6.0,0.9,0.5,1.0,1.0,3.3,9.4
100,2019,Andre Iguodala,SF,35.0,GSW,21.0,15.0,30.0,3.9,7.9,0.494,1.3,3.8,0.35,2.6,4.1,0.628,0.578,0.7,1.8,0.378,1.3,3.0,4.3,4.0,1.1,1.1,1.0,2.0,9.8
101,2019,Ersan İlyasova,PF,31.0,MIL,15.0,0.0,18.1,2.3,5.4,0.432,0.8,2.7,0.3,1.5,2.7,0.561,0.506,1.3,1.7,0.8,1.3,3.4,4.7,1.4,0.7,0.4,0.5,2.7,6.8
102,2019,Joe Ingles,PF,31.0,UTA,5.0,5.0,30.2,2.4,7.4,0.324,1.6,5.8,0.276,0.8,1.6,0.5,0.432,0.0,0.0,,0.6,4.2,4.8,5.0,2.2,0.0,1.6,2.8,6.4
103,2019,Kyrie Irving,PG,26.0,BOS,9.0,9.0,36.7,7.7,19.9,0.385,2.0,6.4,0.31,5.7,13.4,0.421,0.436,4.0,4.4,0.9,0.6,3.8,4.3,7.0,1.4,0.4,3.1,2.9,21.3
104,2019,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
105,2019,Jonathan Isaac,PF,21.0,ORL,5.0,5.0,27.4,2.2,8.0,0.275,0.8,4.0,0.2,1.4,4.0,0.35,0.325,1.4,1.6,0.875,2.0,4.2,6.2,0.4,0.4,1.0,1.0,1.8,6.6
106,2019,Wes Iwundu,SF,24.0,ORL,5.0,0.0,12.0,1.2,3.6,0.333,0.6,1.8,0.333,0.6,1.8,0.333,0.417,1.8,1.8,1.0,0.0,1.4,1.4,0.8,0.6,0.0,0.4,0.8,4.8
